Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,EZVote Code,Election Code,Boss Code
372,Community Center at Jonestown,,"18649 FM 1431, Suite 6A ",Jonestown,11/6/2012,7:00,19:00,78645,30.491765,-97.923803,NW,ED,R,1444,G12,189
373,Lago Vista City Hall,,5803 Thunderbird Street ,Lago Vista,11/6/2012,7:00,19:00,78645,30.452891,-97.988133,NW,ED,R,1228,G12,190
374,Deer Creek Elementary School,,2420 Zeppelin Drive ,Cedar Park,11/6/2012,7:00,19:00,78613,30.482584,-97.853111,NW,ED,R,425,G12,191
375,Volente Fire Department,,15406 FM 2769 ,Volente,11/6/2012,7:00,19:00,78641,30.435928,-97.90433,NW,ED,R,2203,G12,192
401,Del Valle ISD Administration Building,,5301 Ross Road ,Del Valle,11/6/2012,7:00,19:00,78617,30.176036,-97.613418,SE,ED,R,407,G12,193
402,Elroy Community Library,,13512 FM 812 ,Del Valle,11/6/2012,7:00,19:00,78617,30.123925,-97.638577,SE,ED,R,500,G12,194
403,Creedmoor Elementary School,,5604 FM 1327 ,Creedmoor,11/6/2012,7:00,19:00,78610,30.088999,-97.722423,SE,ED,R,342,G12,195
404,Blazier Elementary School,,8601 Vertex Boulevard ,Austin,11/6/2012,7:00,19:00,78744,30.156149,-97.751992,SE,ED,R,253,G12,196
405,Ojeda Middle School,,4900 McKinney Falls Parkway ,Austin,11/6/2012,7:00,19:00,78744,30.190467,-97.712574,SE,ED,R,1586,G12,197
406,St. Alban's Episcopal Church,417,11819 IH-35 South ,Austin,11/6/2012,7:00,19:00,78747,30.129576,-97.798576,SE,ED,R,1931,G12,198
407,South Rural Community Center,,3518 South FM 973 ,Del Valle,11/6/2012,7:00,19:00,78617,30.198738,-97.642107,SE,ED,R,1932,G12,199
408,Combined @ 435 Southwest Church of Christ,,8900 Manchaca Road ,Austin,11/6/2012,7:00,19:00,78748,30.183882,-97.818639,S,ED,R,1922,G12,218
409,Galindo Elementary School,,3800 South 2nd Street ,Austin,11/6/2012,7:00,19:00,78704,30.229037,-97.771025,S,ED,R,706,G12,200
410,Science & Health Resource Center,,305 North Bluff Drive ,Austin,11/6/2012,7:00,19:00,78745,30.197292,-97.774978,S,ED,R,1614,G12,201
411,Combined @ 416 Akins High School,,10701 South 1st Street ,Austin,11/6/2012,7:00,19:00,78748,30.149237,-97.800872,S,ED,R,322,G12,204
412,Combined @ 454 Randalls Ben White,,2025 West Ben White Boulevard ,Austin,11/6/2012,7:00,19:00,78704,30.229575,-97.789907,S,ED,R,1842,G12,232
413,Combined @ 448 Langford Elementary School,,2206 Blue Meadow Drive ,Austin,11/6/2012,7:00,19:00,78744,30.181907,-97.764459,SE,ED,R,1220,G12,228
414,Texas Oaks Baptist Church,,9910 Bilbrook Place ,Austin,11/6/2012,7:00,19:00,78748,30.169933,-97.817373,S,ED,R,2022,G12,202
415,Casey Elementary School,,9400 Texas Oaks Drive ,Austin,11/6/2012,7:00,19:00,78748,30.176509,-97.814798,S,ED,R,319,G12,203
416,Akins High School,411,10701 South 1st Street ,Austin,11/6/2012,7:00,19:00,78748,30.149237,-97.800872,S,ED,R,322,G12,204
417,Combined @ 406 St. Alban's Episcopal Church,,11819 IH-35 South ,Austin,11/6/2012,7:00,19:00,78747,30.129576,-97.798576,SE,ED,R,1931,G12,198
418,Combined @ 448 Langford Elementary School,,2206 Blue Meadow Drive ,Austin,11/6/2012,7:00,19:00,78744,30.181907,-97.764459,SE,ED,R,1220,G12,228
419,Combined @ 447 Odom Elementary School,,1010 Turtle Creek Boulevard ,Austin,11/6/2012,7:00,19:00,78745,30.205832,-97.788792,S,ED,R,1582,G12,227
420,Parker Lane United Methodist Church,,2105 Parker Lane ,Austin,11/6/2012,7:00,19:00,78741,30.23375,-97.73474,SE,ED,R,1616,G12,205
421,Congress Avenue Baptist Church,,1511 South Congress Avenue ,Austin,11/6/2012,7:00,19:00,78704,30.248493,-97.74946,SC,ED,R,337,G12,206
422,Fulmore Middle School,,201 East Mary Street ,Austin,11/6/2012,7:00,19:00,78704,30.243887,-97.749803,S,ED,R,621,G12,207
423,Montopolis Recreation Center,,1200 Montopolis Drive ,Austin,11/6/2012,7:00,19:00,78741,30.232282,-97.700129,SE,ED,R,1331,G12,208
424,South Austin Recreation Center,,1100 Cumberland Road ,Austin,11/6/2012,7:00,19:00,78704,30.242116,-97.767988,S,ED,R,1945,G12,210
425,Combined @ 446 St. Elmo Elementary School,,600 West St. Elmo Road ,Austin,11/6/2012,7:00,19:00,78745,30.221686,-97.773213,S,ED,R,1939,G12,226
426,Govalle Elementary School,444,3601 Govalle Avenue ,Austin,11/6/2012,7:00,19:00,78702,30.264386,-97.698573,E,ED,R,708,G12,211
427,Allan Elementary School,436,4900 Gonzales Street ,Austin,11/6/2012,7:00,19:00,78702,30.255629,-97.69779,E,ED,R,128,G12,213
428,Mexican American Cultural Center (MACC),,600 River Street ,Austin,11/6/2012,7:00,19:00,78701,30.25814,-97.740169,C,ED,R,1347,G12,214
429,Dan Ruiz Branch Public Library,,1600 Grove Boulevard ,Austin,11/6/2012,7:00,19:00,78741,30.229417,-97.706684,SE,ED,R,417,G12,215
430,"Combined @ 461 Ann Richards School, Portable 152",430,2206 Prather Lane (Enter off of Victory Lane) ,Austin,11/6/2012,7:00,19:00,78704,30.235415,-97.788405,S,ED,R,1615,G12,235
431,Baty Elementary School,,2101 Faro Drive ,Austin,11/6/2012,7:00,19:00,78741,30.227327,-97.713309,SE,ED,R,254,G12,216
432,Combined @ 438 Sanchez Elementary School,,73 San Marcos Street ,Austin,11/6/2012,7:00,19:00,78702,30.258298,-97.735716,E,ED,R,1937,G12,220
433,Travis High School,442,1211 East Oltorf Street ,Austin,11/6/2012,7:00,19:00,78704,30.234034,-97.743269,S,ED,R,2031,G12,217
434,Combined @ 438 Sanchez Elementary School,,73 San Marcos Street ,Austin,11/6/2012,7:00,19:00,78702,30.258298,-97.735716,E,ED,R,1937,G12,220
435,Southwest Church of Christ,408,8900 Manchaca Road ,Austin,11/6/2012,7:00,19:00,78748,30.183882,-97.818639,S,ED,R,1922,G12,218
436,Combined @ 427 Allan Elementary School,,4900 Gonzales Street ,Austin,11/6/2012,7:00,19:00,78702,30.255629,-97.69779,E,ED,R,128,G12,213
437,Twin Oaks Branch Library,,1800 South 5th Street ,Austin,11/6/2012,7:00,19:00,78704,30.248734,-97.76227,S,ED,R,2045,G12,219
438,Sanchez Elementary School,"432, 434",73 San Marcos Street ,Austin,11/6/2012,7:00,19:00,78702,30.258298,-97.735716,E,ED,R,1937,G12,220
439,Cantu/Pan Am Recreation Center,,2100 East 3rd Street ,Austin,11/6/2012,7:00,19:00,78702,30.258039,-97.720878,E,ED,R,331,G12,221
440,CityView at the Park Senior Apts,,2000 Woodward Street ,Austin,11/6/2012,7:00,19:00,78741,30.21791,-97.74337,SE,ED,R,349,G12,222
441,St. John's Lutheran Church,,409 West Ben White Boulevard ,Austin,11/6/2012,7:00,19:00,78704,30.224439,-97.768182,S,ED,R,1936,G12,223
442,Combined @ 433 Travis High School,,1211 East Oltorf Street ,Austin,11/6/2012,7:00,19:00,78704,30.234034,-97.743269,S,ED,R,2031,G12,217
443,Mendez Middle School,,5106 Village Square Drive ,Austin,11/6/2012,7:00,19:00,78744,30.188102,-97.743655,SE,ED,R,1332,G12,225
444,Combined @ 426 Govalle Elementary School,,3601 Govalle Avenue ,Austin,11/6/2012,7:00,19:00,78702,30.264386,-97.698573,E,ED,R,708,G12,211
446,St. Elmo Elementary School,425,600 West St. Elmo Road ,Austin,11/6/2012,7:00,19:00,78745,30.221686,-97.773213,S,ED,R,1939,G12,226
447,Odom Elementary School,419,1010 Turtle Creek Boulevard ,Austin,11/6/2012,7:00,19:00,78745,30.205832,-97.788792,S,ED,R,1582,G12,227
448,Langford Elementary School,"413, 418",2206 Blue Meadow Drive ,Austin,11/6/2012,7:00,19:00,78744,30.181907,-97.764459,SE,ED,R,1220,G12,228
450,Dove Springs Recreation Center,,5801 Ainez Drive ,Austin,11/6/2012,7:00,19:00,78744,30.187694,-97.739664,SE,ED,R,413,G12,229
451,Bedichek Middle School,,6800 Bill Hughes Road ,Austin,11/6/2012,7:00,19:00,78745,30.195252,-97.787279,S,ED,R,231,G12,230
452,Houston Elementary School,,5409 Ponciana Drive ,Austin,11/6/2012,7:00,19:00,78744,30.197144,-97.755307,SE,ED,R,815,G12,231
454,Randalls Ben White,412,2025 West Ben White Boulevard ,Austin,11/6/2012,7:00,19:00,78704,30.229575,-97.789907,S,ED,R,1842,G12,232
458,Mockingbird Post Office,,7310 Manchaca Road ,Austin,11/6/2012,7:00,19:00,78745,30.198201,-97.80864,S,ED,R,1341,G12,233
460,ACC South Austin Campus,,1820 West Stassney Lane ,Austin,11/6/2012,7:00,19:00,78745,30.215651,-97.795959,S,ED,R,143,G12,234
461,"Ann Richards School, Portable 152",430,2206 Prather Lane (Enter off of Victory Lane) ,Austin,11/6/2012,7:00,19:00,78704,30.235415,-97.788405,S,ED,R,1615,G12,235
463,Williams Elementary School,,500 Mairo Street ,Austin,11/6/2012,7:00,19:00,78748,30.180655,-97.791978,S,ED,R,2325,G12,236
152,Fiesta Mart Central,,3909 North IH-35 ,Austin,11/6/2012,7:00,19:00,78722,30.29598,-97.71741,C,ED,R,623,G12,66
441,Fiesta Mart Stassney,,5510 South IH 35 ,Austin,11/6/2012,7:00,19:00,78745,30.20036,-97.7643,SE,ED,R,624,G12,224
139,Goodwill Industries Norwood,,1015 Norwood Park Boulevard ,Austin,11/6/2012,7:00,19:00,78753,30.338676,-97.694421,NE,ED,R,717,G12,56
