183	183	316	B 	70
185	185	317	B 	1063
187	187	318	B 	0
189	189	320	A 	2001
191	191	323	A 	2164
193	193	324	B 	0
195	195	325	A 	61
197	197	326	B 	1866
199	199	327	B 	2952
201	201	329	A 	4379
203	203	330	B 	1
205	205	331	B 	2762
207	207	333	A 	67
209	209	334	A 	43
211	211	335	A 	2568
213	213	336	B 	2310
215	215	337	B 	3547
217	217	338	B 	58
219	219	340	A 	1890
221	221	342	A 	4782
223	223	343	B 	2629
225	225	345	A 	4
227	227	346	B 	1991
229	229	347	A 	15
231	231	347	C 	2794
233	233	349	B 	4720
235	235	351	A 	1912
237	237	354	A 	5
239	239	356	A 	0
241	241	357	A 	633
243	243	359	A 	4363
245	245	360	A 	5
247	247	361	A 	1377
249	249	363	A 	1598
251	251	364	B 	24
253	253	365	B 	798
255	255	367	A 	60
257	257	368	A 	2
259	259	369	A 	629
261	261	369	C 	1110
263	263	370	B 	0
265	265	371	A 	1549
267	267	371	C 	403
269	269	372	B 	870
271	271	373	B 	122
273	273	374	A 	5407
275	275	375	A 	457
277	277	375	C 	463
279	279	401	B 	1199
281	281	402	B 	580
283	283	404	A 	285
285	285	405	A 	484
287	287	405	C 	4
289	289	406	B 	2739
291	291	407	B 	1811
293	293	408	B 	3092
295	295	410	A 	2954
297	297	412	A 	111
299	299	413	B 	731
301	301	414	B 	2623
303	303	416	A 	84
305	305	417	B 	1555
307	307	419	A 	551
309	309	421	A 	2854
311	311	423	A 	1
313	313	424	A 	2693
315	315	426	A 	3133
317	317	427	B 	2221
319	319	429	A 	5950
321	321	431	A 	5655
323	323	433	A 	2710
325	325	435	A 	5556
327	327	437	A 	2546
329	329	439	A 	2845
331	331	441	A 	3737
333	333	443	A 	4276
335	335	446	A 	1131
337	337	448	A 	0
339	339	450	A 	3573
341	341	452	A 	2392
343	343	458	A 	3316
345	345	461	A 	3652
347	347	H442	FULL	0
349	349	W146	FULL	0
351	351	W151	FULL	0
353	353	W162	FULL	0
355	355	W189	FULL	0
357	357	W198	FULL	0
359	359	W266	FULL	0
361	361	W275	FULL	0
2	2	101	B 	3107
4	4	102	A 	899
6	6	104	A 	1176
8	8	105	B 	0
10	10	107	A 	333
12	12	109	A 	2387
14	14	111	A 	40
16	16	112	A 	1606
18	18	113	B 	527
20	20	115	A 	0
22	22	116	B 	1
24	24	117	B 	2516
26	26	119	A 	0
28	28	120	B 	0
30	30	121	A 	30
32	32	122	A 	2891
34	34	124	A 	4952
36	36	125	B 	0
38	38	127	A 	0
40	40	129	A 	2810
42	42	131	A 	0
44	44	132	A 	2679
46	46	134	A 	0
48	48	136	A 	3040
50	50	138	A 	0
52	52	140	A 	1895
54	54	141	B 	421
56	56	145	A 	2792
58	58	148	A 	4110
60	60	150	A 	2249
62	62	152	A 	3342
64	64	153	B 	936
66	66	154	A 	89
68	68	156	A 	5602
70	70	160	B 	137
72	72	161	B 	203
74	74	164	A 	2053
76	76	202	A 	3345
78	78	203	B 	175
80	80	206	A 	1183
82	82	207	B 	3756
84	84	209	A 	1201
86	86	211	A 	1824
88	88	212	B 	1749
90	90	214	A 	2536
92	92	215	B 	4
94	94	216	B 	0
96	96	218	A 	4246
98	98	219	B 	0
100	100	221	A 	289
102	102	222	A 	2804
104	104	224	A 	263
106	106	225	B 	333
108	108	227	A 	647
110	110	227	C 	216
112	112	229	A 	1981
114	114	232	A 	5844
116	116	233	A 	1941
118	118	234	A 	2053
120	120	235	A 	2510
122	122	237	A 	2078
124	124	239	A 	2392
126	126	241	A 	1731
128	128	243	A 	1738
130	130	244	B 	158
132	132	245	B 	1318
134	134	247	A 	790
136	136	249	A 	3022
138	138	251	A 	3040
140	140	253	A 	2950
142	142	256	A 	2104
144	144	259	A 	2776
146	146	262	A 	4570
148	148	266	A 	560
150	150	268	A 	1229
152	152	274	A 	2612
154	154	277	A 	5129
156	156	301	B 	483
158	158	302	A 	2574
160	160	303	A 	2705
162	162	304	A 	4208
164	164	306	A 	2784
166	166	307	A 	1150
168	168	308	A 	4205
170	170	309	A 	411
172	172	310	A 	2128
174	174	311	A 	4759
176	176	312	B 	0
178	178	314	A 	2417
180	180	315	A 	1400
182	182	316	A 	1687
184	184	317	A 	1755
186	186	318	A 	793
188	188	319	A 	2390
190	190	321	A 	717
192	192	324	A 	2715
194	194	324	C 	2188
196	196	326	A 	494
198	198	327	A 	0
200	200	328	A 	4130
202	202	330	A 	3054
204	204	331	A 	45
206	206	332	A 	2765
208	208	333	B 	2872
